[9/7/23, 8:51:45 AM] Yara: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
‎[9/7/23, 8:51:45 AM] Yara: ‎image omitted
[9/13/23, 6:22:05 PM] Ismael: Yara
[9/13/23, 6:22:15 PM] Ismael: No te acuerdas que tenemos que sacar del imss?
[9/13/23, 6:35:24 PM] Yara: Nou
‎[9/13/23, 6:35:25 PM] Yara: ‎sticker omitted
[9/13/23, 6:35:35 PM] Yara: Pero ocupamos la curp
[9/14/23, 7:27:51 AM] Ismael: Yaraaaaaaaa
[9/14/23, 7:27:58 AM] Ismael: Me los pasas porfa?
‎[9/14/23, 7:28:03 AM] Ismael: ‎sticker omitted
[9/19/23, 8:22:09 PM] Ismael: ‎Location: https://maps.google.com/?q=25.464457,-108.062218
[9/19/23, 8:22:15 PM] Ismael: Por aquí vives?
[9/19/23, 8:27:55 PM] Yara: No, esas son las torres yo vivo maas arriba
‎[9/19/23, 8:27:58 PM] Yara: ‎sticker omitted
[9/19/23, 8:30:36 PM] Ismael: Chin
[9/20/23, 6:19:36 PM] Yara: Isma isma
‎[9/20/23, 6:19:59 PM] Yara: ‎image omitted
[9/20/23, 6:20:18 PM] Ismael: para nad
[9/20/23, 6:20:19 PM] Ismael: a
[9/20/23, 6:21:28 PM] Yara: Mmm
[9/20/23, 6:21:36 PM] Yara: Pues por donde
‎[9/20/23, 6:21:39 PM] Yara: ‎sticker omitted
[9/20/23, 8:53:45 PM] Ismael: ‎Location: https://maps.google.com/?q=25.471737,-108.069405
[9/20/23, 8:53:49 PM] Ismael: Ahí vives
[9/20/23, 9:32:42 PM] Yara: Te fuiste 400 m isma
‎[9/20/23, 9:32:43 PM] Yara: ‎sticker omitted
‎[9/22/23, 11:53:48 AM] Ismael: ‎image omitted
‎[9/22/23, 11:53:49 AM] Ismael: ‎image omitted
‎[9/22/23, 12:04:51 PM] Ismael: ‎image omitted
‎[9/22/23, 12:05:05 PM] Ismael: ‎image omitted
‎[9/29/23, 10:00:19 AM] Ismael: ‎video omitted
‎[9/30/23, 8:59:12 PM] Yara: ‎audio omitted
[9/30/23, 9:00:16 PM] Ismael: hola Mauro
‎[9/30/23, 9:00:42 PM] Yara: ‎audio omitted
‎[9/30/23, 9:01:02 PM] Yara: ‎audio omitted
[9/30/23, 9:01:30 PM] Ismael: bien
[10/3/23, 6:21:28 PM] Yara: JESUS ISMAEL
[10/3/23, 6:21:45 PM] Yara: dime la hora bien en la que vas a estar
‎[10/3/23, 6:21:46 PM] Yara: ‎sticker omitted
[10/3/23, 6:21:58 PM] Ismael: 5 a 6
[10/3/23, 6:22:06 PM] Yara: Gracias gracias
‎[10/3/23, 6:22:06 PM] Yara: ‎sticker omitted
[10/3/23, 6:25:34 PM] Ismael: Yaaara
[10/3/23, 6:25:38 PM] Ismael: No vengas yaaraaaa
[10/3/23, 6:26:07 PM] Yara: Por queeee
[10/3/23, 6:26:17 PM] Ismael: No yara
[10/3/23, 6:28:59 PM] Yara: Si isma
[10/3/23, 6:29:10 PM] Ismael: No yara
[10/3/23, 6:29:16 PM] Ismael: Porfs no yara
‎[10/3/23, 6:34:02 PM] Yara: ‎sticker omitted
[10/4/23, 12:00:02 AM] Yara: FELIZ CUMPLEAÑOS
‎[10/4/23, 12:00:05 AM] Yara: ‎sticker omitted
[10/4/23, 5:51:39 AM] Ismael: Gracias yara
[10/4/23, 12:50:36 PM] Ismael: Yara
[10/4/23, 12:50:39 PM] Ismael: A las 3:40
[10/4/23, 12:50:46 PM] Ismael: 3:30 no voy a estar tío
[10/4/23, 12:52:32 PM] Yara: Mmm bueno
‎[10/4/23, 12:52:35 PM] Yara: ‎sticker omitted
[10/4/23, 7:36:05 PM] Yara: Isma si fuiste a cenar?
‎[10/4/23, 7:36:07 PM] Yara: ‎sticker omitted
[10/4/23, 7:40:08 PM] Ismael: Ya mero
[10/4/23, 7:49:30 PM] Yara: Provecho entonces
‎[10/4/23, 7:49:31 PM] Yara: ‎sticker omitted
[10/18/23, 10:00:31 PM] Ismael: Haraaaaaa
[10/18/23, 10:00:36 PM] Ismael: Me pasas lo de inglés porfsa
[10/18/23, 10:16:56 PM] Yara: Voy
[10/18/23, 10:17:22 PM] Yara: No creo que le entiendas, yo lo escribí como lo tenia el Abraham
‎[10/18/23, 10:18:09 PM] Yara: ‎sticker omitted
‎[10/18/23, 10:22:41 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:41 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:41 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:42 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:42 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:42 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:42 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:43 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:43 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:43 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:44 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:44 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:44 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:44 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:44 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:45 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:45 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:45 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:45 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:46 PM] Yara: ‎image omitted
‎[10/18/23, 10:22:46 PM] Yara: ‎image omitted
[10/18/23, 10:23:12 PM] Ismael: Gracias yara
‎[10/18/23, 10:23:59 PM] Yara: ‎sticker omitted
[10/20/23, 8:46:47 AM] Ismael: Entro la maestra yra
[10/24/23, 8:50:01 AM] Yara: Por que no viniste?
‎[10/24/23, 8:50:02 AM] Yara: ‎sticker omitted
[10/24/23, 8:51:45 AM] Ismael: Me write la garganta
[10/24/23, 8:51:47 AM] Ismael: Duele
[10/24/23, 8:52:31 AM] Yara: Pero la garganta no se usa para estudiar isma
‎[10/24/23, 8:52:31 AM] Yara: ‎sticker omitted
[10/24/23, 8:52:37 AM] Yara: Muy mal, muy mal
[10/31/23, 10:14:18 AM] Ismael: Tienes que entrar a clase acosta
[10/31/23, 10:14:30 AM] Ismael: No es cierto
[10/31/23, 10:14:34 AM] Ismael: Es retroalimentación
[10/31/23, 10:15:00 AM] Yara: Pero hay alguien?
‎[10/31/23, 10:15:01 AM] Yara: ‎sticker omitted
‎[10/31/23, 10:15:46 AM] Ismael: ‎image omitted
‎[10/31/23, 10:16:14 AM] Yara: ‎sticker omitted
[11/1/23, 8:48:53 PM] Yara: Ismaaaaa
[11/1/23, 8:49:03 PM] Yara: En qué Floreria trabajas?
